foodId,Nama,Tipe,harga,img
1,Sosis Bakar,ayam-daging,5000,https://i.pinimg.com/564x/16/cb/c8/16cbc88bb28180d869069bdd85c5f63c.jpg
2,Ngohiong Ayam Udang,ayam-daging,10000,https://i.pinimg.com/564x/87/10/32/8710327f7837cb9fc5a73e3141fd9532.jpg
3,Rawon Ayam,ayam-daging,15000,https://i.pinimg.com/564x/87/9a/e3/879ae34e0c74ea3ecd1294bd33a18f40.jpg
4,Usus Goreng Crispy,ayam-daging,10000,https://i.pinimg.com/564x/50/49/6d/50496d1ff42b1e302aaa7a264ff51c5d.jpg
5,Ceker Rica Rica,ayam-daging,10000,https://i.pinimg.com/564x/93/c3/14/93c314284dc41e6ede4f6120308ea5cb.jpg
6,Ceker Kecap Pedas,ayam-daging,10000,https://i.pinimg.com/564x/3b/a0/6f/3ba06f1906c2c4301bffa287bbfa6868.jpg
7,Ayam Suwir Kecap,ayam-daging,10000,https://i.pinimg.com/564x/6c/c6/b3/6cc6b34638875c9b4af0f9e07fe47677.jpg
8,Burung Puyuh Bakar,ayam-daging,20000,https://i.pinimg.com/564x/ac/c0/92/acc0926962f9a678f1ddac8e9772eb98.jpg
9,Dangkot Ayam,ayam-daging,15000,https://i.pinimg.com/564x/2d/fc/e0/2dfce093e2d298088084815f271297f7.jpg
10,Ayam Bumbu Merah,ayam-daging,12000,https://i.pinimg.com/736x/8c/c5/2e/8cc52e9663492996e4116ee596796b00.jpg
11,Pempek Ayam,ayam-daging,12000,https://i.pinimg.com/736x/8c/c5/2e/8cc52e9663492996e4116ee596796b00.jpg
12,Ngohiong Ayam,ayam-daging,12000,https://i.pinimg.com/736x/8c/c5/2e/8cc52e9663492996e4116ee596796b00.jpg
13,Rica Rica Bebek,ayam-daging,12000,https://i.pinimg.com/736x/8c/c5/2e/8cc52e9663492996e4116ee596796b00.jpg
14,Ayam Rujak Tanpa Santan,ayam-daging,12000,https://i.pinimg.com/736x/8c/c5/2e/8cc52e9663492996e4116ee596796b00.jpg
15,Daging Goreng,ayam-daging,12000,https://i.pinimg.com/736x/8c/c5/2e/8cc52e9663492996e4116ee596796b00.jpg
16,Asam Pedas (Padeh) Daging,ayam-daging,12000,https://i.pinimg.com/736x/8c/c5/2e/8cc52e9663492996e4116ee596796b00.jpg
17,Tongseng Kambing Tanpa Santan,ayam-daging,12000,https://i.pinimg.com/736x/8c/c5/2e/8cc52e9663492996e4116ee596796b00.jpg
18,Saksang Ayam,ayam-daging,12000,https://i.pinimg.com/736x/8c/c5/2e/8cc52e9663492996e4116ee596796b00.jpg
19,Ayam Goreng Madu,ayam-daging,12000,https://i.pinimg.com/736x/8c/c5/2e/8cc52e9663492996e4116ee596796b00.jpg
20,Ayam Kecap,ayam-daging,12000,https://i.pinimg.com/736x/8c/c5/2e/8cc52e9663492996e4116ee596796b00.jpg
21,Ayam Geprek Keju,ayam-daging,12000,https://i.pinimg.com/736x/8c/c5/2e/8cc52e9663492996e4116ee596796b00.jpg
22,Chicken Basil Thai,ayam-daging,12000,https://i.pinimg.com/736x/8c/c5/2e/8cc52e9663492996e4116ee596796b00.jpg
23,Dumpling Ayam Kukus,ayam-daging,12000,https://i.pinimg.com/736x/8c/c5/2e/8cc52e9663492996e4116ee596796b00.jpg
24,Tangsuyuk Sapi,ayam-daging,12000,https://i.pinimg.com/736x/8c/c5/2e/8cc52e9663492996e4116ee596796b00.jpg
25,Kekian Ayam Udang,ayam-daging,12000,https://i.pinimg.com/736x/8c/c5/2e/8cc52e9663492996e4116ee596796b00.jpg
26,Yakitori Ayam,ayam-daging,12000,https://i.pinimg.com/736x/8c/c5/2e/8cc52e9663492996e4116ee596796b00.jpg
27,Ayam Telur Asin,ayam-daging,12000,https://i.pinimg.com/736x/8c/c5/2e/8cc52e9663492996e4116ee596796b00.jpg
28,Ayam Kuah Hitam,ayam-daging,12000,https://i.pinimg.com/736x/8c/c5/2e/8cc52e9663492996e4116ee596796b00.jpg
29,Korean Spicy Chicken,ayam-daging,12000,https://i.pinimg.com/736x/8c/c5/2e/8cc52e9663492996e4116ee596796b00.jpg
30,Nasi Jinggo,ayam-daging,12000,https://i.pinimg.com/736x/8c/c5/2e/8cc52e9663492996e4116ee596796b00.jpg
31,Bubur Ayam Quaker Oat,ayam-daging,12000,https://i.pinimg.com/736x/8c/c5/2e/8cc52e9663492996e4116ee596796b00.jpg
32,Lidah Sapi Cabe hijau,ayam-daging,12000,https://i.pinimg.com/736x/8c/c5/2e/8cc52e9663492996e4116ee596796b00.jpg
33,Ayam Goreng Oatmeal,ayam-daging,12000,https://i.pinimg.com/736x/8c/c5/2e/8cc52e9663492996e4116ee596796b00.jpg
34,Burrito Ayam,ayam-daging,12000,https://i.pinimg.com/736x/8c/c5/2e/8cc52e9663492996e4116ee596796b00.jpg
35,Ayam Kecap Kuah,ayam-daging,12000,https://i.pinimg.com/736x/8c/c5/2e/8cc52e9663492996e4116ee596796b00.jpg
36,Ayam Kecap Pedas,ayam-daging,12000,https://i.pinimg.com/736x/8c/c5/2e/8cc52e9663492996e4116ee596796b00.jpg
37,Ayam Bumbu Rajang (Khas Lombok),ayam-daging,12000,https://i.pinimg.com/736x/8c/c5/2e/8cc52e9663492996e4116ee596796b00.jpg
38,Gore Gore,ayam-daging,12000,https://i.pinimg.com/736x/8c/c5/2e/8cc52e9663492996e4116ee596796b00.jpg
39,Bakso Keju,ayam-daging,12000,https://i.pinimg.com/736x/8c/c5/2e/8cc52e9663492996e4116ee596796b00.jpg
40,Tum Ayam,ayam-daging,12000,https://i.pinimg.com/736x/8c/c5/2e/8cc52e9663492996e4116ee596796b00.jpg
41,Ayam Bakar Lumajang,ayam-daging,12000,https://i.pinimg.com/736x/8c/c5/2e/8cc52e9663492996e4116ee596796b00.jpg
42,Ayam Bakar Bumbu Rujak,ayam-daging,12000,https://i.pinimg.com/736x/8c/c5/2e/8cc52e9663492996e4116ee596796b00.jpg
43,Ayam Panggang Pecel,ayam-daging,12000,https://i.pinimg.com/736x/8c/c5/2e/8cc52e9663492996e4116ee596796b00.jpg
44,Nasi Briyani Ayam,ayam-daging,12000,https://i.pinimg.com/736x/8c/c5/2e/8cc52e9663492996e4116ee596796b00.jpg
45,Ayam Kodok,ayam-daging,12000,https://i.pinimg.com/736x/8c/c5/2e/8cc52e9663492996e4116ee596796b00.jpg
46,Sepat Ayam,ayam-daging,12000,https://i.pinimg.com/736x/8c/c5/2e/8cc52e9663492996e4116ee596796b00.jpg
47,Tahu Campur,ayam-daging,12000,https://i.pinimg.com/736x/8c/c5/2e/8cc52e9663492996e4116ee596796b00.jpg
48,Ayam Kecap Jahe,ayam-daging,12000,https://i.pinimg.com/736x/8c/c5/2e/8cc52e9663492996e4116ee596796b00.jpg
49,Daging Bumbu Bali,ayam-daging,12000,https://i.pinimg.com/736x/8c/c5/2e/8cc52e9663492996e4116ee596796b00.jpg
50,Ayam Bakar Klaten,ayam-daging,12000,https://i.pinimg.com/736x/8c/c5/2e/8cc52e9663492996e4116ee596796b00.jpg
51,Ayam Goreng Cabe,ayam-daging,12000,https://i.pinimg.com/736x/8c/c5/2e/8cc52e9663492996e4116ee596796b00.jpg
52,Ayam Kare Jawa,ayam-daging,12000,https://i.pinimg.com/736x/8c/c5/2e/8cc52e9663492996e4116ee596796b00.jpg
